epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.907,0.58459,0.69097,1.52737,0.99818,0.56428,0.79883,0.70163,0.69095,0.56347,0.79785,0.69925,0.68258,0.22166,0.43608,0.66506,0.77336,0.00332574,0.00332574,0.00332574
2,415.419,0.54587,0.49033,1.00836,0.95238,0.61672,0.77998,0.75687,0.70903,0.61537,0.77825,0.75465,0.72293,0.32828,0.47104,0.75496,0.78671,0.00659315,0.00659315,0.00659315
3,615.61,0.59547,0.53162,1.01503,0.97675,0.52328,0.77636,0.69657,0.64682,0.52263,0.77538,0.69463,0.6631,0.35367,0.45252,0.88845,0.79725,0.00979456,0.00979456,0.00979456
4,814.269,0.61654,0.55452,1.01947,0.98788,0.57666,0.84556,0.7172,0.67719,0.57703,0.84148,0.71583,0.68159,0.32472,0.46705,0.72562,0.79312,0.009703,0.009703,0.009703
5,1012.26,0.58148,0.51963,0.9591,0.9767,0.65859,0.80233,0.7819,0.75674,0.65859,0.80233,0.78078,0.75985,0.27601,0.37261,0.63438,0.78471,0.009604,0.009604,0.009604
6,1211.56,0.56102,0.50806,0.91521,0.96966,0.66273,0.80791,0.79188,0.76781,0.66103,0.80762,0.7889,0.76307,0.27526,0.4206,0.55094,0.78162,0.009505,0.009505,0.009505
7,1413.39,0.54418,0.48547,0.86779,0.96289,0.70682,0.85912,0.85306,0.8357,0.70786,0.85763,0.85173,0.82708,0.24305,0.37931,0.4839,0.77663,0.009406,0.009406,0.009406
8,1614.15,0.52802,0.4744,0.83556,0.95784,0.67673,0.8498,0.7853,0.76532,0.67463,0.84795,0.78218,0.76087,0.25015,0.39791,0.55958,0.77713,0.009307,0.009307,0.009307
9,1817.49,0.51651,0.46468,0.80159,0.95337,0.77051,0.82323,0.85782,0.84376,0.77051,0.82323,0.8562,0.83719,0.2211,0.38777,0.47331,0.77389,0.009208,0.009208,0.009208
10,2019.64,0.5047,0.44379,0.77856,0.94802,0.78224,0.86838,0.8758,0.86217,0.79008,0.86827,0.87412,0.85695,0.22648,0.36867,0.41394,0.77549,0.009109,0.009109,0.009109
11,2220.05,0.49323,0.44153,0.75307,0.94326,0.72463,0.86248,0.86939,0.85674,0.72169,0.8591,0.86626,0.85112,0.21358,0.36766,0.43085,0.76942,0.00901,0.00901,0.00901
12,2421.69,0.49059,0.45427,0.7448,0.94181,0.82813,0.87079,0.9028,0.8912,0.82742,0.87004,0.90148,0.88819,0.21584,0.35297,0.38731,0.77106,0.008911,0.008911,0.008911
13,2621.66,0.4816,0.441,0.7249,0.94171,0.78888,0.86201,0.87127,0.86179,0.78888,0.86201,0.86881,0.85575,0.20919,0.36789,0.39536,0.77014,0.008812,0.008812,0.008812
14,2823.94,0.47456,0.43523,0.7088,0.94047,0.81812,0.87887,0.90072,0.89091,0.81791,0.87864,0.89951,0.8858,0.20326,0.34238,0.36112,0.7686,0.008713,0.008713,0.008713
15,3024.79,0.47077,0.42571,0.69566,0.93571,0.84043,0.86199,0.89955,0.89054,0.84307,0.86083,0.89782,0.88521,0.20094,0.33988,0.38924,0.76795,0.008614,0.008614,0.008614
